name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L6X6X3/8X3/8|29.8|29.8|8.76|6.00|6.00|0.375|1.62|0.365|30.8|12.5|7.02|1.87|59.2|15.8|9.57|2.60|3.51|0.833
2L6X6X3/8X3/4|29.8|29.8|8.76|6.00|6.00|0.375|1.62|0.365|30.8|12.5|7.02|1.87|65.8|17.5|10.3|2.74|3.61|0.842
2L6X6X5/16|24.8|24.8|7.34|6.00|6.00|0.313|1.60|0.306|26.0|10.5|5.90|1.88|44.8|11.7|7.47|2.47|3.42|0.823
2L6X6X5/16X3/8|24.8|24.8|7.34|6.00|6.00|0.313|1.60|0.306|26.0|10.5|5.90|1.88|49.2|13.1|7.95|2.59|3.51|0.832
2L6X6X5/16X3/4|24.8|24.8|7.34|6.00|6.00|0.313|1.60|0.306|26.0|10.5|5.90|1.88|54.3|14.5|8.52|2.72|3.61|0.841
2L5X5X7/8|54.4|54.4|16.0|5.00|5.00|0.875|1.56|0.800|35.6|18.6|10.3|1.49|74.6|25.0|14.9|2.16|2.85|0.845
2L5X5X7/8X3/8|54.4|54.4|16.0|5.00|5.00|0.875|1.56|0.800|35.6|18.6|10.3|1.49|84.6|28.0|16.3|2.30|2.96|0.856
2L5X5X7/8X3/4|54.4|54.4|16.0|5.00|5.00|0.875|1.56|0.800|35.6|18.6|10.3|1.49|95.3|31.0|17.7|2.44|3.07|0.866
2L5X5X3/4|47.2|47.2|14.0|5.00|5.00|0.750|1.52|0.698|31.4|16.3|9.04|1.50|63.5|21.2|12.7|2.13|2.85|0.840
2L5X5X3/4X3/8|47.2|47.2|14.0|5.00|5.00|0.750|1.52|0.698|31.4|16.3|9.04|1.50|72.1|23.8|13.9|2.27|2.95|0.851
