name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W10X17|17.0|17.0|4.99|10.1|4.01|0.240|0.330|0.630|81.9|18.7|16.2|4.05|3.56|2.80|1.78|0.845|0.156|85.1|9.79|3.24|3.04|9.14|1.04|8.375|2.25
W10X15|15.0|15.0|4.41|9.99|4.00|0.230|0.270|0.570|68.9|16.0|13.8|3.95|2.89|2.30|1.45|0.810|0.104|68.3|9.73|2.63|2.48|7.83|1.01|8.375|2.25
W10X12|12.0|12.0|3.54|9.87|3.96|0.190|0.210|0.510|53.8|12.6|10.9|3.90|2.18|1.74|1.10|0.785|0.0547|50.9|9.56|1.99|1.91|6.14|0.983|8.375|2.25
W8X67|67.0|67.0|19.7|9.00|8.28|0.570|0.935|1.33|272|70.1|60.4|3.72|88.6|32.7|21.4|2.12|5.05|1440|16.7|32.3|14.5|34.8|2.43|5.75|5.5
W8X58|58.0|58.0|17.1|8.75|8.22|0.510|0.810|1.20|228|59.8|52.0|3.65|75.1|27.9|18.3|2.10|3.33|1180|16.3|27.2|12.4|29.7|2.39|5.75|5.5
W8X48|48.0|48.0|14.1|8.50|8.11|0.400|0.685|1.08|184|49.0|43.2|3.61|60.9|22.9|15.0|2.08|1.96|931|15.8|22.0|10.3|24.2|2.35|5.75|5.5
W8X40|40.0|40.0|11.7|8.25|8.07|0.360|0.560|0.954|146|39.8|35.5|3.53|49.1|18.5|12.2|2.04|1.12|726|15.5|17.5|8.30|19.7|2.31|5.75|5.5
W8X35|35.0|35.0|10.3|8.12|8.02|0.310|0.495|0.889|127|34.7|31.2|3.51|42.6|16.1|10.6|2.03|0.769|619|15.3|15.2|7.28|17.1|2.28|5.75|5.5
W8X31|31.0|31.0|9.13|8.00|8.00|0.285|0.435|0.829|110|30.4|27.5|3.47|37.1|14.1|9.27|2.02|0.536|530|15.1|13.2|6.35|15.0|2.26|5.75|5.5
W8X28|28.0|28.0|8.25|8.06|6.54|0.285|0.465|0.859|98.0|27.2|24.3|3.45|21.7|10.1|6.63|1.62|0.537|312|12.4|9.44|5.52|13.4|1.84|6.125|4
W8X24|24.0|24.0|7.08|7.93|6.50|0.245|0.400|0.794|82.7|23.1|20.9|3.42|18.3|8.57|5.63|1.61|0.346|259|12.2|7.95|4.71|11.3|1.81|6.125|4
W8X21|21.0|21.0|6.16|8.28|5.27|0.250|0.400|0.700|75.3|20.4|18.2|3.49|9.77|5.69|3.71|1.26|0.282|152|10.4|5.47|3.96|10.1|1.46|6.5|2.75
W8X18|18.0|18.0|5.26|8.14|5.25|0.230|0.330|0.630|61.9|17.0|15.2|3.43|7.97|4.66|3.04|1.23|0.172|122|10.3|4.44|3.23|8.37|1.43|6.5|2.75
W8X15|15.0|15.0|4.44|8.11|4.02|0.245|0.315|0.615|48.0|13.6|11.8|3.29|3.41|2.67|1.70|0.876|0.137|51.8|7.81|2.47|2.31|6.64|1.06|6.5|2.25
W8X13|13.0|13.0|3.84|7.99|4.00|0.230|0.255|0.555|39.6|11.4|9.91|3.21|2.73|2.15|1.37|0.843|0.0871|40.8|7.74|1.97|1.86|5.55|1.03|6.5|2.25
W8X10|10.0|10.0|2.96|7.89|3.94|0.170|0.205|0.505|30.8|8.87|7.81|3.22|2.09|1.66|1.06|0.841|0.0426|30.9|7.57|1.53|1.48|4.29|1.01|6.5|2.25
W6X25|25.0|25.0|7.34|6.38|6.08|0.320|0.455|0.705|53.4|18.9|16.7|2.70|17.1|8.56|5.61|1.52|0.461|150|9.01|6.23|3.88|9.39|1.74|4.5|3.5
W6X20|20.0|20.0|5.87|6.20|6.02|0.260|0.365|0.615|41.4|14.9|13.4|2.66|13.3|6.72|4.41|1.50|0.240|113|8.78|4.82|3.07|7.38|1.70|4.5|3.5
W6X15|15.0|15.0|4.43|5.99|5.99|0.230|0.260|0.510|29.1|10.8|9.72|2.56|9.32|4.75|3.11|1.45|0.101|76.5|8.58|3.34|2.15|5.32|1.66|4.5|3.5
W6X16|16.0|16.0|4.74|6.28|4.03|0.260|0.405|0.655|32.1|11.7|10.2|2.60|4.43|3.39|2.20|0.967|0.223|38.2|5.92|2.42|2.24|5.77|1.13|4.5|2.25
W6X12|12.0|12.0|3.55|6.03|4.00|0.230|0.280|0.530|22.1|8.30|7.31|2.49|2.99|2.32|1.50|0.918|0.0903|24.7|5.75|1.61|1.52|4.08|1.08|4.5|2.25
W6X9|9.00|9.00|2.68|5.90|3.94|0.170|0.215|0.465|16.4|6.23|5.56|2.47|2.20|1.72|1.11|0.905|0.0405|17.7|5.60|1.19|1.15|3.04|1.06|4.5|2.25
W6X8.5|8.50|8.50|2.52|5.83|3.94|0.170|0.195|0.445|14.9|5.73|5.10|2.43|1.99|1.56|1.01|0.890|0.0333|15.8|5.55|1.06|1.03|2.78|1.05|4.5|2.25
W5X19|19.0|19.0|5.56|5.15|5.03|0.270|0.430|0.730|26.3|11.6|10.2|2.17|9.13|5.53|3.63|1.28|0.316|50.9|5.94|3.21|2.42|5.73|1.45|3.5|2.75
W5X16|16.0|16.0|4.71|5.01|5.00|0.240|0.360|0.660|21.4|9.63|8.55|2.13|7.51|4.58|3.00|1.26|0.192|40.6|5.81|2.62|1.99|4.74|1.43|3.5|2.75
W4X13|13.0|13.0|3.83|4.16|4.06|0.280|0.345|0.595|11.3|6.28|5.46|1.72|3.86|2.92|1.90|1.00|0.151|14.0|3.87|1.36|1.24|3.09|1.16|2.625|2.25
