name|weight|mass|A|OD|tnom|tdes|I|Z|S|r|J
  |lbf/ft|lbm/ft|in²|in|in|in|in⁴|in³|in³|in|in⁴
HSS5.563X.134|7.78|7.78|2.12|5.56|0.134|0.124|7.84|3.67|2.82|1.92|15.7
HSS5.5X.500|26.73|26.73|7.36|5.5|0.5|0.465|23.5|11.8|8.55|1.79|47
HSS5.5X.375|20.55|20.55|5.65|5.5|0.375|0.349|18.8|9.27|6.84|1.83|37.6
HSS5.5X.258|14.46|14.46|3.97|5.5|0.258|0.24|13.7|6.64|5|1.86|27.5
HSS5X.500|24.05|24.05|6.62|5|0.5|0.465|17.2|9.6|6.88|1.61|34.4
HSS5X.375|18.54|18.54|5.1|5|0.375|0.349|13.9|7.56|5.55|1.65|27.7
HSS5X.312|15.64|15.64|4.3|5|0.312|0.291|12|6.46|4.79|1.67|24
HSS5X.258|13.08|13.08|3.59|5|0.258|0.24|10.2|5.44|4.08|1.69|20.4
HSS5X.250|12.69|12.69|3.49|5|0.25|0.233|9.94|5.3|3.97|1.69|19.9
HSS5X.188|9.67|9.67|2.64|5|0.188|0.174|7.69|4.05|3.08|1.71|15.4
HSS5X.125|6.51|6.51|1.78|5|0.125|0.116|5.31|2.77|2.12|1.73|10.6
HSS4.5X.375|16.54|16.54|4.55|4.5|0.375|0.349|9.87|6.03|4.39|1.47|19.7
HSS4.5X.337|15|15|4.12|4.5|0.337|0.313|9.07|5.5|4.03|1.48|18.1
HSS4.5X.237|10.8|10.8|2.96|4.5|0.237|0.22|6.79|4.03|3.02|1.52|13.6
HSS4.5X.188|8.67|8.67|2.36|4.5|0.188|0.174|5.54|3.26|2.46|1.53|11.1
HSS4.5X.125|5.85|5.85|1.6|4.5|0.125|0.116|3.84|2.23|1.71|1.55|7.68
HSS4X.313|12.34|12.34|3.39|4|0.313|0.291|5.87|4.01|2.93|1.32|11.7
HSS4X.250|10|10|2.76|4|0.25|0.233|4.91|3.31|2.45|1.33|9.82
HSS4X.237|9.53|9.53|2.61|4|0.237|0.22|4.68|3.15|2.34|1.34|9.36
HSS4X.226|9.12|9.12|2.5|4|0.226|0.21|4.5|3.02|2.25|1.34|9.01
HSS4X.220|8.89|8.89|2.44|4|0.22|0.205|4.41|2.96|2.21|1.34|8.83
HSS4X.188|7.66|7.66|2.09|4|0.188|0.174|3.83|2.55|1.92|1.35|7.67
HSS4X.125|5.18|5.18|1.42|4|0.125|0.116|2.67|1.75|1.34|1.37|5.34
HSS3.5X.313|10.66|10.66|2.93|3.5|0.313|0.291|3.81|3|2.18|1.14|7.61
HSS3.5X.300|10.26|10.26|2.82|3.5|0.3|0.279|3.69|2.9|2.11|1.14|7.38
