name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
  |lbf/ft|lbm/ft|in²|in|in|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in||in
WT12X27.5|27.5|27.5|8.1|11.8|7.01|0.395|0.505|1.01|3.5|1.53|117|25.6|14.1|3.8|14.5|6.65|4.15|1.34|0.588|2.93|5.17|0.606|5.5
WT10.5X137.5|137.5|137.5|40.9|12.1|12.9|1.22|2.19|3.37|2.9|1.59|420|86.3|45.7|3.2|394|95.1|61.1|3.1|53.5|224|4.81|0.859|5.5
WT10.5X124|124|124|37|11.9|12.8|1.1|1.99|3.17|2.77|1.45|368|75.7|40.3|3.15|349|84.8|54.5|3.07|40.2|163|4.75|0.86|5.5
WT10.5X111.5|111.5|111.5|33.2|11.7|12.7|1|1.79|2.97|2.66|1.31|324|66.7|35.9|3.12|307|74.9|48.3|3.04|29.6|117|4.7|0.859|5.5
WT10.5X100.5|100.5|100.5|29.6|11.5|12.6|0.91|1.63|2.13|2.57|1.18|285|58.6|31.9|3.1|271|66.5|43.1|3.02|20.4|85.4|4.67|0.859|5.5
WT10.5X91|91|91|26.8|11.4|12.5|0.83|1.48|1.98|2.48|1.07|253|52.1|28.5|3.07|241|59.5|38.6|3|15.3|63|4.64|0.859|5.5
WT10.5X83|83|83|24.4|11.2|12.4|0.75|1.36|1.86|2.39|0.983|226|46.3|25.5|3.04|217|53.9|35|2.99|11.8|47.3|4.59|0.861|5.5
WT10.5X73.5|73.5|73.5|21.6|11|12.5|0.72|1.15|1.65|2.39|0.864|204|42.4|23.7|3.08|188|46.3|30|2.95|7.69|32.5|4.63|0.846|5.5
WT10.5X66|66|66|19.4|10.9|12.4|0.65|1.04|1.54|2.33|0.78|181|37.6|21.1|3.06|166|41.1|26.7|2.93|5.62|23.4|4.6|0.845|5.5
WT10.5X61|61|61|17.9|10.8|12.4|0.6|0.96|1.46|2.28|0.724|166|34.3|19.3|3.04|152|37.8|24.6|2.91|4.47|18.4|4.58|0.846|5.5
WT10.5X55.5|55.5|55.5|16.3|10.8|12.3|0.55|0.875|1.38|2.23|0.662|150|31|17.5|3.03|137|34.1|22.2|2.9|3.4|13.8|4.56|0.845|5.5
WT10.5X50.5|50.5|50.5|14.9|10.7|12.3|0.5|0.8|1.3|2.18|0.605|135|27.9|15.8|3.01|124|30.8|20.2|2.89|2.6|10.4|4.53|0.846|5.5
