name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|x|eo|J|Cw|rts|WGi|metricName
unit|lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|in|in⁴|in⁶|in|in|
MC12X31|31|31|9.12|12|3.67|0.37|0.7|1.31|202|39.7|33.7|4.71|11.3|8.15|4.37|1.11|1.08|1.17|1|267|1.28|2.25|MC310X46
MC12X14.3|14.3|14.3|4.18|12|2.12|0.25|0.313|0.750|76.1|15.9|12.7|4.27|1|1.21|0.574|0.489|0.377|0.435|0.117|32.8|0.672|1.25|MC310X21.3
MC12X10.6|10.6|10.6|3.1|12|1.5|0.19|0.309|0.750|55.3|11.6|9.22|4.22|0.378|0.635|0.307|0.349|0.269|0.284|0.0596|11.7|0.478||MC310X15.8
MC10X41.1|41.1|41.1|12.1|10|4.32|0.796|0.575|1.31|157|39.3|31.5|3.61|15.7|9.49|4.85|1.14|1.09|0.864|2.26|269|1.44|2.5|MC250X61.2
MC10X33.6|33.6|33.6|9.87|10|4.1|0.575|0.575|1.31|139|33.7|27.8|3.75|13.1|8.28|4.35|1.15|1.09|1.06|1.2|224|1.40|2.5|MC250X50
MC10X28.5|28.5|28.5|8.37|10|3.95|0.425|0.575|1.31|126|30|25.3|3.89|11.3|7.59|3.99|1.16|1.12|1.21|0.791|193|1.36|2.5|MC250X42.4
MC10X25|25|25|7.34|10|3.41|0.38|0.575|1.31|110|26.2|22|3.87|7.25|5.65|2.96|0.993|0.953|1.03|0.638|124|1.17|2|MC250X37
MC10X22|22|22|6.45|10|3.32|0.29|0.575|1.31|102|23.9|20.5|3.99|6.4|5.29|2.75|0.997|0.99|1.12|0.51|110|1.14|2|MC250X33
MC10X8.4|8.4|8.4|2.46|10|1.5|0.17|0.28|0.750|31.9|7.92|6.39|3.61|0.326|0.548|0.268|0.364|0.284|0.332|0.0413|7|0.486||MC250X12.5
MC10X6.5|6.5|6.5|1.95|10|1.17|0.152|0.202|0.563|22.9|5.9|4.59|3.43|0.133|0.284|0.137|0.262|0.194|0.182|0.0191|2.76|0.363||MC250X9.7
